,TOOK,TOMB,SUGG,PRPO,PRLA,LIRO,FLNT,CRAM,BLWA,BARC
0.0,0.037692263334216096,0.0010247335269052572,0.024992858511861653,0.001833824540209813,0.02355590157163245,0.0004698584758245115,0.001019266728708194,0.00022464680289753988,0.0005033945863882233,0.02346804200510904
6.103515625e-05,0.056227195748263646,0.0015307275871961252,0.037306394742327026,0.002738448395429793,0.0351382920287957,0.000699833055494465,0.001521781253238184,0.0003352421282174102,0.0007525347499808047,0.03502603611157771
0.0001220703125,0.0019012943986234153,5.164071262448138e-05,0.0012623320038309504,9.20737947200892e-05,0.0011934948262826992,2.371888237251256e-05,5.1221497565130004e-05,1.1392418636407933e-05,2.531303214769655e-05,0.001186767753948584
0.00018310546875,0.00015608511474950052,4.12579280951725e-06,0.00010356487269223694,7.207068716398062e-06,0.00010082744360681917,2.0264097621934037e-06,4.062550813190739e-06,9.620294395726436e-07,1.966014761304647e-06,9.811568445104501e-05
0.000244140625,4.450214497246501e-05,1.1237579664228813e-06,2.945903145874493e-05,1.8997940280188214e-06,2.9980667153930253e-05,6.202037148936725e-07,1.0984272572639065e-06,2.855772641253829e-07,5.094052883281131e-07,2.8199717805294125e-05
0.00030517578125,2.3520095899488334e-05,5.709628171917804e-07,1.5520987349931784e-05,9.400815997776865e-07,1.634299025151225e-05,3.50161226492682e-07,5.578998511703868e-07,1.5533795788934774e-07,2.4709839566595455e-07,1.4952172740248836e-05
0.0003662109375,1.6461010357499784e-05,3.8937566846406497e-07,1.0832998727206658e-05,6.311299181663202e-07,1.1641556227856694e-05,2.577797012901161e-07,3.82531345762058e-07,1.1045471329857002e-07,1.630376780790262e-07,1.0458587585024748e-05
0.00042724609375,1.308384719582303e-05,3.043379076358756e-07,8.59278605056736e-06,4.88781078380899e-07,9.349564635859127e-06,2.134092130166449e-07,3.014602518580628e-07,8.860087453122004e-08,1.2444043897639766e-07,8.294704133544132e-06
0.00048828125,1.1076527434402795e-05,2.546956943342325e-07,7.264079443616173e-06,4.065750045284065e-07,7.96992460440365e-06,1.8727951840886243e-07,2.547301587574605e-07,7.547533537958875e-08,1.0219859513520206e-07,7.002891216678152e-06
0.00054931640625,9.704538036781346e-06,2.2130357217592312e-07,6.358621788352615e-06,3.5163450587304603e-07,7.019266551723416e-06,1.697542759838414e-07,2.2367980120769965e-07,6.645882686737978e-08,8.73551562383562e-08,6.117782572843138e-06
0.0006103515625,8.673155009355149e-06,1.9657711611085538e-07,5.6804016229144034e-06,3.110983991535797e-07,6.300948634669361e-06,1.5689264204601806e-07,2.009477829995076e-07,5.967126415596761e-08,7.641940857012468e-08,5.451928109938217e-06
0.00067138671875,7.843606234269025e-06,1.7697907649657184e-07,5.137066042501869e-06,2.790302212224767e-07,5.721434144716647e-06,1.4680212319105822e-07,1.83105836726968e-07,5.421774084920173e-08,6.778619427196662e-08,4.9168705511022435e-06
0.000732421875,7.143039772320408e-06,1.606632034680167e-07,4.680085863906012e-06,2.523561670462908e-07,5.231292716450952e-06,1.384669592698585e-07,1.6836098437760864e-07,4.962481135059752e-08,6.062755729936634e-08,4.466149321388034e-06
0.00079345703125,6.530300037679769e-06,1.465883632211911e-07,4.282005053601194e-06,2.2935347208443271e-07,4.802500200363869e-06,1.3129769192449128e-07,1.556962213636144e-07,4.5623545894109506e-08,5.448123884917541e-08,4.073544405132623e-06
0.0008544921875,5.9809822815879345e-06,1.3413542574056385e-07,3.926503743143176e-06,2.09002728583197e-07,4.418419923823397e-06,1.2493271571514377e-07,1.4450083568662157e-07,4.205376539898908e-08,4.90747015782088e-08,3.723538837169838e-06
0.00091552734375,5.480164293745478e-06,1.229224939567227e-07,3.6035652444953523e-06,1.906779566002112e-07,4.068886768086674e-06,1.1914120587778144e-07,1.3439301430981308e-07,3.8817050813578936e-08,4.4241047714333666e-08,3.4066642563466117e-06
0.0009765625,5.018559750800055e-06,1.1270781053670726e-07,3.3069183933621754e-06,1.7398476624202786e-07,3.7475862888823798e-06,1.1377160436476675e-07,1.2512708095013375e-07,3.5851696492542404e-08,3.987516446653783e-08,3.1170300313213255e-06
0.00103759765625,4.590340761152449e-06,1.0333515067495441e-07,3.0325901353875374e-06,1.5866977143292973e-07,3.450562193673235e-06,1.0872245910737496e-07,1.1654156445268705e-07,3.3118456988300625e-08,3.590920609361687e-08,2.850921095365721e-06
0.0010986328125,4.191837117196821e-06,9.470141398919006e-08,2.7780413821115084e-06,1.4456700748905062e-07,3.175320456821507e-06,1.0392503416644314e-07,1.0852849889691397e-07,3.059200435616957e-08,3.229811804901805e-08,2.6059590725184632e-06
0.00115966796875,3.820725386485421e-06,8.673657259733178e-08,2.541628832593009e-06,1.3156484021595698e-07,2.9202688029443743e-06,9.933248746672119e-08,1.0101447286376411e-07,2.825559771125441e-08,2.9010728191877924e-08,2.3805794380835546e-06
0.001220703125,3.4755066356573196e-06,7.939088053115402e-08,2.3222589060692153e-06,1.1958486634041406e-07,2.684354940324632e-06,9.491289417519075e-08,9.394853191936586e-08,2.6097658070748725e-08,2.6024103274774413e-08,2.1736958653547486e-06
0.00128173828125,3.1551623912503206e-06,7.262655808888073e-08,2.1191603173727075e-06,1.085681790935738e-07,2.4668282499624697e-06,9.064461634670001e-08,8.72942638494905e-08,2.4109527537218104e-08,2.331991772766104e-08,1.9844809120031514e-06
0.0013427734375,2.858925381726069e-06,6.64123517226566e-08,1.9317330426018744e-06,9.846635546884558e-08,2.2670814827488705e-06,8.651315595035507e-08,8.10245392176126e-08,2.228399615482761e-08,2.088211747527275e-08,1.8122222051901694e-06
0.00140380859375,2.586127018042372e-06,6.072000979295276e-08,1.7594483233550835e-06,8.923558604742589e-08,2.0845463202240262e-06,8.250897555322348e-08,7.511799580047899e-08,2.061434504447435e-08,1.8695448523244042e-08,1.6562295300851263e-06
0.00146484375,2.3360978770295985e-06,5.552207336544609e-08,1.601783873569908e-06,8.083296326597948e-08,1.918626419340382e-06,7.862596796304646e-08,6.95567013182885e-08,1.909374767566129e-08,1.6744580167353154e-08,1.515777365577205e-06
0.00152587890625,2.108105781364999e-06,5.079058964082714e-08,1.4581839945461074e-06,7.321428844311947e-08,1.768657254339292e-06,7.48603718443992e-08,6.432463015118347e-08,1.771492550292124e-08,1.5013645252570872e-08,1.3900727242295025e-06
0.0015869140625,1.9013210663259619e-06,4.649648057464908e-08,1.328037629793287e-06,6.633296367730136e-08,1.6338854842773362e-06,7.121000034626854e-08,5.940671071558277e-08,1.6469986849188375e-08,1.3486075239533182e-08,1.2782413352933773e-06
0.00164794921875,1.7148017062706648e-06,4.2609376581276944e-08,1.2106694460896148e-06,6.013966150763824e-08,1.5134626804061662e-06,6.767369329967557e-08,5.4788275173605364e-08,1.535039811066412e-08,1.2144642057594997e-08,1.1793271708940028e-06
0.001708984375,1.5474929321518558e-06,3.9097774759788704e-08,1.105340335422363e-06,5.458254592534236e-08,1.4064495833430744e-06,6.425093126174992e-08,5.0454791136168607e-08,1.434704924880406e-08,1.0971640730354677e-08,1.0923015634278122e-06
0.00177001953125,1.3982372574013233e-06,3.592941414216365e-08,1.0112545948485108e-06,4.9607871686034713e-08,1.3118279359910824e-06,6.09415677502181e-08,4.6391786804144884e-08,1.3450384088526804e-08,9.94916159925211e-09,1.01607898744267e-06
0.0018310546875,1.265791708654142e-06,3.30717836461964e-08,9.275716340816005e-07,4.516082583901296e-08,1.2285175371333238e-06,5.774564806379939e-08,4.258490288545677e-08,1.2650571898836143e-08,9.059411570973154e-09,9.495371523407448e-07
0.00189208984375,1.1488496887843425e-06,3.0492695629801335e-08,8.534204890966415e-07,4.118650245149696e-08,1.1553965920597886e-06,5.466329131696282e-08,3.902002038681585e-08,1.1937701132413276e-08,8.285051894421703e-09,8.9153947485313e-07
0.001953125,1.0460653786661309e-06,2.816087152296442e-08,7.8791574781636e-07,3.763092255290577e-08,1.0913237668627734e-06,5.169461808754026e-08,3.568342527047971e-08,1.1301979669508866e-08,7.60952654361692e-09,8.409583334682282e-07
0.00201416015625,9.56078969207674e-07,2.604649734040494e-08,7.301737593876614e-07,3.444202867977078e-08,1.0351606224145307e-06,4.883971023321919e-08,3.25619803574296e-08,1.0733928822401251e-08,7.017360928163276e-09,7.966977873330957e-07
0.0020751953125,8.775413414673502e-07,2.4121716749083786e-08,6.793282245534336e-07,3.157059842732222e-08,9.857933365936214e-07,4.6098592518467335e-08,2.9643282570342e-08,1.022456092771553e-08,6.494415695504164e-09,7.577146908310927e-07
0.00213623046875,8.091371003875585e-07,2.236103821314337e-08,6.34544464343435e-07,2.8971034870401765e-08,9.421528329359448e-07,4.347122805376584e-08,2.6915790125620032e-08,9.76553270480845e-09,6.028084989729553e-09,7.230373637243451e-07
0.002197265625,7.496051279675498e-07,2.074164077116176e-08,5.950318448070621e-07,2.6602003989112937e-08,9.03232627942007e-07,4.0957521407793515e-08,2.436890987603814e-08,9.34926874679108e-09,5.6074327515342215e-09,6.917811910149386e-07
0.00225830078125,6.9775605982913e-07,1.9243570284761947e-08,5.600540000238129e-07,2.4426900475023077e-08,8.681038910354577e-07,3.855732475485766e-08,2.1993039817260142e-08,8.96905155508718e-09,5.223264485196487e-09,6.631607282907694e-07
0.0023193359375,6.524863068125952e-07,1.7849824521486896e-08,5.289366450620091e-07,2.2414133513620938e-08,8.359273813292914e-07,3.62704436573764e-08,1.9779565868754372e-08,8.619076423490401e-09,4.8681353512550525e-09,6.364980767328318e-07
0.00238037109375,6.127884401048098e-07,1.6546331145764204e-08,5.010729045046621e-07,2.053723327389559e-08,8.059620830865399e-07,3.4096640116113747e-08,1.7720815446565958e-08,8.294471205103775e-09,4.53629842437164e-09,6.11227465336771e-07
0.00244140625,5.777579330295499e-07,1.5321827523829928e-08,4.759261995897158e-07,1.8774786789671243e-08,7.775705054436502e-07,3.2035631387005146e-08,1.5809973067439802e-08,7.991282531146284e-09,4.2235994403456376e-09,5.868961338408336e-07
0.00250244140625,5.465964032729962e-07,1.4167655141418122e-08,4.5303083673962027e-07,1.7110218591055646e-08,7.502207397044368e-07,3.0087083786878083e-08,1.4040965263332859e-08,7.706431369697095e-09,3.9273263080780606e-09,5.631617458945787e-07
0.0025634765625,5.186116243851526e-07,1.3077484345011442e-08,4.319905212807996e-07,1.5531436758168575e-08,7.234854775053806e-07,2.8250601306792036e-08,1.2408323452031704e-08,7.437641893521783e-09,3.6460230590172467e-09,5.397866759874415e-07
0.00262451171875,4.932146737908224e-07,1.2046987033121744e-08,4.124750818706308e-07,1.4030368975839559e-08,6.970382839328453e-07,2.652570933184532e-08,1.0907034126466733e-08,7.183348453455066e-09,3.3792787431753943e-09,5.166296039686578e-07
0.002685546875,4.6991465585622167e-07,1.1073475858889367e-08,3.9421573347481493e-07,1.2602415660411484e-08,6.706474902765208e-07,2.491183413842821e-08,9.532385832122457e-09,6.9425860190778795e-09,3.1275020710763093e-09,4.936349167159062e-07
0.00274658203125,4.483114831834504e-07,1.0155528506868215e-08,3.7699923017304646e-07,1.1245848345515246e-08,6.441681211672974e-07,2.340827911147334e-08,8.27982195593524e-09,6.714869751587676e-09,2.89169237786783e-09,4.7082045751668485e-07
0.0028076171875,4.2808721846598457e-07,9.292614753790565e-09,3.6066126470697783e-07,9.961181334101777e-09,6.175323006463491e-07,2.2014198802837158e-08,7.144807425024249e-09,6.50006942331719e-09,2.673216799922528e-09,4.482641806829282e-07
0.00286865234375,4.089964749429955e-07,8.48474242177568e-09,3.450794611637793e-07,8.750543271449317e-09,5.907385921507155e-07,2.0728572045797003e-08,6.122716097404371e-09,6.2982842110350526e-09,2.473602471560523e-09,4.2609026326421713e-07
0.0029296875,3.9085634844638894e-07,7.73213611227765e-09,3.3016628263081133e-07,7.617072926038218e-09,5.638407199691248e-07,1.9550175358963625e-08,5.208744018002306e-09,6.1097229901754625e-09,2.294351148317402e-09,4.0445519959252354e-07
0.00299072265625,3.7353631152083024e-07,7.034959916599624e-09,3.158621395592535e-07,6.564360267938083e-09,5.369360964193716e-07,1.847755782583316e-08,4.3978519168049664e-09,5.9345946750840954e-09,2.1367820302500963e-09,3.835343605049467e-07
0.0030517578125,3.569484438076179e-07,6.393092290999994e-09,3.021289396947477e-07,5.59595011307903e-09,5.101545422345688e-07,1.7509018534667734e-08,3.684738448648953e-09,5.7730124218251915e-09,2.0019067854265173e-09,3.635094406309751e-07
0.00311279296875,3.4103830675659147e-07,5.805958121695676e-09,2.889442696628527e-07,4.714921372213629e-09,4.836475401255419e-07,1.664258751886143e-08,3.063843820042091e-09,5.624914674096956e-09,1.890338951635024e-09,3.445571475885934e-07
0.003173828125,3.257766987718917e-07,5.2724198442890704e-09,2.762963445333762e-07,3.923550522217374e-09,4.5757830609035565e-07,1.587601096206277e-08,2.529381714216879e-09,5.490005130153675e-09,1.8022381114594258e-09,3.2683940995638454e-07
0.00323486328125,3.1115245300713057e-07,4.7907264700451945e-09,2.641798077087217e-07,3.2230635131986503e-09,4.321129026991376e-07,1.520674123656055e-08,2.075395896700631e-09,5.3677127802341155e-09,1.73728757277329e-09,3.1049530012633447e-07
0.0032958984375,2.971663678373209e-07,4.358516638738915e-09,2.525924118346604e-07,2.6134761298624542e-09,4.074125561538063e-07,1.4631932138718074e-08,1.695836630563233e-09,5.257172249237817e-09,1.6947028133631342e-09,2.956347871008912e-07
0.00335693359375,2.8382629277636686e-07,3.972869474231593e-09,2.415325643367741e-07,2.093519008230406e-09,3.8362727709012375e-07,1.4148439481607108e-08,1.3846511061895025e-09,5.157223814666708e-09,1.6732667214921402e-09,2.8233435620948934e-07
0.00341796875,2.7114333298669396e-07,3.630395149518851e-09,2.3099768045708454e-07,1.6606402082856786e-09,3.6089082626206816e-07,1.3752827011311488e-08,1.1358815286823174e-09,5.066431687264028e-09,1.671386725319912e-09,2.706344604284251e-07
0.00347900390625,2.591290856435756e-07,3.3273557304632313e-09,2.2098325365996504e-07,1.3110755649137358e-09,3.393170124836309e-07,1.3441377437093148e-08,9.437643205400146e-10,4.983118468107577e-09,1.6871682785125972e-09,2.6053870386251066e-07
0.0035400390625,2.477937827156717e-07,3.0598060911192583e-09,2.1148252886302516e-07,1.0399750531108543e-09,3.189972631506891e-07,1.3210108212615855e-08,8.028240819019405e-10,4.905413151798923e-09,1.7184988658773214e-09,2.520146038171806e-07
0.00360107421875,2.3714518797511226e-07,2.82374447959583e-09,2.024866485033302e-07,8.415721415536099e-10,2.9999936853289894e-07,1.305479157992304e-08,7.079564805147765e-10,4.8313096448851624e-09,1.7631367041531564e-09,2.4499573501233637e-07
0.003662109375,2.271880813642365e-07,2.615262636180482e-09,1.9398513487339744e-07,7.093825682356921e-10,2.823672705636782e-07,1.2970978292399564e-08,6.544950769820035e-10,4.758732519017468e-09,1.8187986170814903e-09,2.393850285389965e-07
0.00372314453125,2.1792416071479296e-07,2.430686175289156e-09,1.8596657392144916e-07,6.364191167865656e-10,2.6612174536822246e-07,1.2954024368441196e-08,6.382581721489626e-10,4.685606620174285e-09,1.8832421255031897e-09,2.350589792484384e-07
0.0037841796875,2.0935219818671585e-07,2.2666971695817143e-09,1.7841937489607879e-07,6.154097368713231e-10,2.5126181613684364e-07,1.2999120193441357e-08,6.55573026279142e-10,4.609927202843427e-09,1.9543375668800875e-09,2.3187250798090075e-07
0.00384521484375,2.014683051627091e-07,2.120432432149196e-09,1.7133249561213296e-07,6.390076471459518e-10,2.3776672867808583e-07,1.3101321282107968e-08,7.032761706610769e-10,4.529827439977874e-09,2.0301269909445633e-09,2.2966422851702848e-07
0.00390625,1.942661828530853e-07,1.9895527838094707e-09,1.6469604328615645e-07,6.999837767289898e-10,2.2559832525763136e-07,1.3255580033077308e-08,7.786899350904635e-10,4.443640459582131e-09,2.1088676110443307e-09,2.2826188211822468e-07
0.00396728515625,1.8773726445853214e-07,1.8722805141711046e-09,1.5850168426688168e-07,7.913939212458873e-10,2.1470366207713048e-07,1.3456777849497703e-08,8.795766738712523e-10,4.349953456853377e-09,2.189058664456307e-09,2.2748772346683933e-07
0.0040283203125,1.8187068622921868e-07,1.767404193564192e-09,1.5274282095591767e-07,9.067151870143249e-10,2.0501773072468665e-07,1.3699757058343645e-08,1.0040734178568933e-09,4.247651904019313e-09,2.2694515911991415e-09,2.2716366898127697e-07
0.00408935546875,1.7665305698577364e-07,1.6742518689391704e-09,1.4741451920530594e-07,1.0399485476750539e-09,1.9646616278576124e-07,1.3979352133014043e-08,1.1506107480114492e-09,4.135952403883188e-09,2.3490444256425317e-09,2.2711605002172547e-07
0.004150390625,1.7206802659737318e-07,1.592635390116672e-09,1.4251319304165757e-07,1.1856865242720238e-09,1.8896781816018817e-07,1.4290419803557102e-08,1.3178205254532992e-09,4.014423282598769e-09,2.4270621611715845e-09,2.2717984756960634e-07
0.00421142578125,1.6809568173598235e-07,1.5227700859385106e-09,1.3803607443899866e-07,1.3391470173560431e-09,1.824371801480929e-07,1.4627867722110863e-08,1.504437685671876e-09,3.882992567956159e-09,2.502925556764389e-09,2.272023197882353e-07
0.0042724609375,1.6471182044108593e-07,1.4651751815057364e-09,1.339805130237604e-07,1.496176079514304e-09,1.767865028062312e-07,1.4986681433716115e-08,1.7092015871238677e-09,3.7419435286492755e-09,2.5762113772695633e-09,2.2704596783890526e-07
0.00433349609375,1.618871744990837e-07,1.420561174529644e-09,1.3034316330446978e-07,1.6532238499193348e-09,1.7192767734941837e-07,1.536194948095627e-08,1.9307623888109363e-09,3.5918984372613783e-09,2.6466073792890798e-09,2.2659081703769428e-07
0.00439453125,1.5958665963254768e-07,1.389710846950382e-09,1.271191248357049e-07,1.8072989319450577e-09,1.6777380358281248e-07,1.5748886541977662e-08,2.1675976253001813e-09,3.4337916478499745e-09,2.713865466218366e-09,2.2573601875876054e-07
0.00445556640625,1.5776873769133848e-07,1.3733606730208044e-09,1.2430110351565616e-07,1.9559071561694807e-09,1.6424046881927067e-07,1.614285456316217e-08,2.4179435732137894e-09,3.268833434512942e-09,2.777756344709625e-09,2.2440080257611464e-07
0.0045166015625,1.5638497253504222e-07,1.3720891114171162e-09,1.2187866013770192e-07,2.096980932078508e-09,1.612467500098114e-07,1.6539381898632374e-08,2.6797451958447886e-09,3.098466310654447e-09,2.838028736515272e-09,2.225248274482151e-07
0.00457763671875,1.5537985257068628e-07,1.3862176681724976e-09,1.1983760579380446e-07,2.2288052713590434e-09,1.5871596467039185e-07,1.693418050819413e-08,2.950627458571964e-09,2.924315734451694e-09,2.894375759304705e-09,2.2006799504794677e-07
0.004638671875,1.5469093877205894e-07,1.4157297356344622e-09,1.1815959341432912e-07,2.349946101262917e-09,1.565762026163723e-07,1.7323161293273085e-08,3.2278896818064383e-09,2.748137202931384e-09,2.9464105199369376e-09,2.170097976650036e-07
0.00469970703125,1.5424937854032514e-07,1.4602111082624358e-09,1.1682194145673914e-07,2.459185731007826e-09,1.547606737019954e-07,1.770244766749948e-08,3.5085234003027763e-09,2.5717617476136335e-09,2.9936523014545026e-09,2.1334827774718776e-07
0.0047607421875,1.5398080425293366e-07,1.5188148152734457e-09,1.1579771047975183e-07,2.5554693521406114e-09,1.5320790705285892e-07,1.8068387465956855e-08,3.789252990013984e-09,2.3970417748365148e-09,3.0355240115214694e-09,2.0909867659789965e-07
0.00482177734375,1.5380661219142957e-07,1.5902515639082597e-09,1.1505603707897741e-07,2.6378653173925174e-09,1.5186183514717523e-07,1.8417563296218208e-08,4.066597167473479e-09,2.2257990525421647e-09,3.071360836822001e-09,2.042918466630158e-07
0.0048828125,1.536455941793472e-07,1.672805727342167e-09,1.1456271343880915e-07,2.7055407273461245e-09,1.5067179210381366e-07,1.8746801426878174e-08,4.33694841914582e-09,2.0597764437255776e-09,3.100429355408766e-09,1.9897249598087377e-07
0.00494384765625,1.5341587209751376e-07,1.7643755072322457e-09,1.1428098554542978e-07,2.7577526349565765e-09,1.4959245027273995e-07,1.905317929718604e-08,4.5966665297229736e-09,1.9005947378361794e-09,3.121955734122368e-09,1.9319732554515977e-07
0.0050048828125,1.5303706575890128e-07,1.8625347158257607e-09,1.141725297767439e-07,2.793854024712074e-09,1.4858371330044758e-07,1.933403171642109e-08,4.842181690268663e-09,1.7497156490793638e-09,3.1351611128262796e-09,1.870331113531419e-07
0.00506591796875,1.5243260852199245e-07,1.964612610875907e-09,1.14198556861048e-07,2.8133126980130494e-09,1.4761057783001874e-07,1.9586955805530044e-08,5.070102209814371e-09,1.6084117489958304e-09,3.13930187656124e-09,1.805547735449047e-07
