,TOOK,TOMB,SUGG,PRPO,PRLA,LIRO,FLNT,CRAM,BLWA,BARC
0.0,0.08926571633309102,0.0072269136331499974,0.15564444907659755,0.009323650210296783,0.11364050095276736,0.00195943314180844,0.00486533931868404,0.0014217995074307422,0.0033314498918211983,0.14534109730762712
6.103515625e-05,0.13343297966373285,0.01079266821876736,0.23232947026154538,0.013931450745905438,0.16956233148733707,0.002920985147332116,0.007269522202674453,0.00212266553410276,0.004979846878507053,0.21691874765561708
0.0001220703125,0.00449074186445931,0.000365289291420655,0.007862225047344382,0.0004685754778914925,0.005749035722344952,9.899359753823254e-05,0.000244591830447693,7.207906325219107e-05,0.00016749395978393682,0.007350149555667367
0.00018310546875,0.0003507426302615269,2.9914641391894462e-05,0.0006455063028587324,3.6560384348178334e-05,0.0004790795857181055,8.369656189421262e-06,1.9186744558301155e-05,6.032476389559782e-06,1.3016843183674825e-05,0.0006079275739628214
0.000244140625,9.183782642368352e-05,8.479716260697976e-06,0.0001838155520839088,9.567849595380454e-06,0.00013955926745421073,2.5132747381877552e-06,5.0769885821742535e-06,1.7653153813876523e-06,3.3781250375863094e-06,0.00017483421452176308
0.00030517578125,4.502062653628822e-05,4.453782188992908e-06,9.692679499516312e-05,4.695010359010544e-06,7.48973285981359e-05,1.3938531754873709e-06,2.522200061898953e-06,9.489958404163973e-07,1.6421456720960794e-06,9.274217259626157e-05
0.0003662109375,2.9951115245418265e-05,3.103002499346766e-06,6.768349463277008e-05,3.1296928279246574e-06,5.2855746534972107e-05,1.0122428109072128e-06,1.6995430186034544e-06,6.696364366843308e-07,1.0858016465098212e-06,6.488445387557922e-05
0.00042724609375,2.3010539435776123e-05,2.4599208628190982e-06,5.370224312310762e-05,2.410090036332411e-06,4.220840787912644e-05,8.290519871536026e-07,1.3212740408207946e-06,5.344538855954953e-07,8.303951965042451e-07,5.1464079676055054e-05
0.00048828125,1.9005484106588308e-05,2.0804384998279264e-06,4.5406930414921775e-05,1.9954849595277875e-06,3.584371748418641e-05,7.208920082120457e-07,1.103816412805015e-06,4.537018157395405e-07,6.83269376946953e-07,4.344923336426117e-05
0.00054931640625,1.6332212334358926e-05,1.8234734283735061e-06,3.97527545365238e-05,1.7191040432467057e-06,3.148205128604442e-05,6.479870420727729e-07,9.59424987320368e-07,3.9851584446932376e-07,5.851261049668714e-07,3.795573798323927e-05
0.0006103515625,1.4363460175427511e-05,1.6323906799443833e-06,3.551690514126874e-05,1.5157883113361626e-06,2.8201631801636548e-05,5.941371912439132e-07,8.536885984699839e-07,3.5719035151622464e-07,5.128473315996998e-07,3.3821636459403023e-05
0.00067138671875,1.2809771662458964e-05,1.4804884519799178e-06,3.2123066172495296e-05,1.3554944369752298e-06,2.5565910335756138e-05,5.515953441329308e-07,7.706700559268253e-07,3.2416815775588226e-07,4.55796744197719e-07,3.0498549489949688e-05
0.000732421875,1.1521318489781283e-05,1.353710796781653e-06,2.9268328889792436e-05,1.2226796224260448e-06,2.3344792923472892e-05,5.162225929158748e-07,7.020783547052787e-07,2.965137162784101e-07,4.084836310595745e-07,2.7698448650051844e-05
0.00079345703125,1.041414478272854e-05,1.2440779753087072e-06,2.6781290649487056e-05,1.1086367126780218e-06,2.1407950710340775e-05,4.856303380557841e-07,6.432357772912453e-07,2.7255998672637385e-07,3.6783897272883693e-07,2.5258800150965543e-05
0.0008544921875,9.438561595638886e-06,1.1468185216564731e-06,2.4560058252044652e-05,1.0082124787938834e-06,1.9677949677734877e-05,4.583633249533803e-07,5.913489918848535e-07,2.5131269315496623e-07,3.320505815852516e-07,2.308343629767552e-05
